Time,Amplitude
0,0
0.001,0.09584667
0.002,0.182618596
0.003,0.252129318
0.004,0.297882003
0.005,0.31570538
0.006,0.304162046
0.007,0.264689157
0.008,0.201457735
0.009,0.120964366
0.01,0.03139526
0.011,-0.058175085
0.012,-0.138672173
0.013,-0.201909793
0.014,-0.241391357
0.015,-0.252945843
0.016,-0.235136097
0.017,-0.189399521
0.018,-0.119907383
0.019,-0.033156518
0.02,0.062666617
0.021,0.158487278
0.022,0.245230721
0.023,0.31471049
0.024,0.360429749
0.025,0.378217233
0.026,0.366635537
0.027,0.327121821
0.028,0.263847105
0.029,0.18330798
0.03,0.093690657
0.031,0.004069636
0.032,-0.076480585
0.033,-0.139773794
0.034,-0.1793134
0.035,-0.190928379
0.036,-0.173181574
0.037,-0.127510385
0.038,-0.058086077
0.039,0.028594517
0.04,0.124344944
0.041,0.220090461
0.042,0.306756329
0.043,0.376156093
0.044,0.421792923
0.045,0.439495553
0.046,0.427826586
0.047,0.388223182
0.048,0.324856366
0.049,0.244222733
0.05,0.154508497
0.051,0.064788162
0.052,-0.015863771
0.053,-0.079261083
0.054,-0.118907183
0.055,-0.13063104
0.056,-0.112995493
0.057,-0.067437938
0.058,0.001870364
0.059,0.088432585
0.06,0.184062276
0.061,0.279684701
0.062,0.366225123
0.063,0.435497094
0.064,0.481003788
0.065,0.498573945
0.066,0.486770173
0.067,0.447029636
0.068,0.383523366
0.069,0.302747963
0.07,0.212889646
0.071,0.123022925
0.072,0.042222308
0.073,-0.021325983
0.074,-0.061125347
0.075,-0.07300475
0.076,-0.055527025
0.077,-0.010129559
0.078,0.05901639
0.079,0.145414004
0.08,0.240876837
0.081,0.336330161
0.082,0.422699246
0.083,0.491797651
0.084,0.537128556
0.085,0.554520708
0.086,0.542536722
0.087,0.50261377
0.088,0.438922891
0.089,0.35796069
0.09,0.267913397
0.091,0.177855528
0.092,0.096861598
0.093,0.033117837
0.094,-0.006879147
0.095,-0.018958311
0.096,-0.00168248
0.097,0.043510964
0.098,0.112450776
0.099,0.198640142
0.1,0.293892626
0.101,0.389133508
0.102,0.475288067
0.103,0.544169869
0.104,0.589282104
0.105,0.606453527
0.106,0.594246761
0.107,0.554098989
